case_id,charge_seq,charge,occur_dt,ucr_code,ucr_cat,ucr_group,(No column name),case_status,csstatus,bias,vic_lst
1800029,1,THEFT 2 - FROM VEHICLE,03:00.0,64,PRP,LARCENY,THEFT FROM VEHI,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""55"",""sex"":""M"",""type"":""I""}]"
1800026,1,CRIMINAL MISCHIEF 1 - RESULT CRIMINAL ACT,32:00.0,141,PRP,VANDALISM,BURGLARY,CLEARED BY ARREST,A ,NULL,[]
1800026,2,CRIMINAL TRESPASS 2,32:00.0,261,SOC,ALL OTHER,BURGLARY,CLEARED BY ARREST,A ,NULL,[]
1800028,1,CRIMINAL TRESPASS 2,31:00.0,261,SOC,ALL OTHER,CRIMINAL TRESPA,CLEARED BY ARREST,A ,NULL,[]
1800033,1,LITTERING,59:00.0,269,SOC,ALL OTHER,PERSON STOP,CLEARED BY ARREST,A ,NULL,[]
1800032,1,VIOL OPER BIKE RULES,09:00.0,269,SOC,ALL OTHER,PERSON STOP,CLEARED BY ARREST,A ,NULL,[]
1800018,1,RUNAWAY JUVENILE - OWN AGENCY,00:00.0,290,SOC,RUNAWAY,RUNAWAY JUVENIL,EXCEPTIONAL (EXC DISP NEEDED),E ,NULL,[]
1800035,1,ASSAULT 4 - SIMPLE ASLT APA,44:00.0,43,PER,ASSAULT,DISPUTE,CLEARED BY ARREST,A ,NULL,"[{""age"":""65"",""sex"":""M"",""type"":""I""}]"
1800041,1,DISORDERLY CONDUCT,56:00.0,240,SOC,DISORDERLY CONDUCT,UNKNOWN PROBLEM,CLEARED BY ARREST,A ,NULL,[]
1800039,1,VEHICLE RECOVERED FOR ANOTHER AGENCY,45:00.0,530,ORS,VEHICLE RECOVERED / OTHER AGENCY,LOCATION STOLEN,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,[]
1800044,1,THEFT 2 - SHOPLIFT,00:00.0,63,PRP,LARCENY,SHOPLIFT 3050 P,CLEARED BY ARREST,A ,NULL,[]
1800046,1,CRIMINAL TRESPASS 2,55:00.0,261,SOC,ALL OTHER,CRIMINAL TRESPA,CLEARED BY ARREST,A ,NULL,[]
1800046,2,FALSE INFO TO OFF (CITE),55:00.0,269,SOC,ALL OTHER,CRIMINAL TRESPA,CLEARED BY ARREST,A ,NULL,[]
1800046,3,"WARRANT ARREST (FTA,FTC,FTP,PV,SC)",55:00.0,550,ORS,WARRANT,CRIMINAL TRESPA,CLEARED BY ARREST,A ,NULL,[]
1800047,1,CRIMINAL TRESPASS 2,16:00.0,261,SOC,ALL OTHER,CRIMINAL TRESPA,CLEARED BY ARREST,A ,NULL,[]
1800006,1,CRIMINAL MISCHIEF 2 - RESULT CRIMINAL ACT,36:00.0,141,PRP,VANDALISM,DISPUTE,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""34"",""sex"":""M"",""type"":""I""}]"
1800048,1,CRIMINAL TRESPASS 2,10:00.0,261,SOC,ALL OTHER,CRIMINAL TRESPA,CLEARED BY ARREST,A ,NULL,[]
1800045,1,THEFT 2 - FROM BUILDING,28:00.0,67,PRP,LARCENY,THEFT,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""20"",""sex"":""F"",""type"":""I""}]"
1800092,1,DISORDERLY CONDUCT,43:00.0,240,SOC,DISORDERLY CONDUCT,ASSIST FIRE DEP,CLEARED BY ARREST,A ,NULL,[]
1800109,1,ASSAULT 4 - SIMPLE ASLT APA,30:00.0,43,PER,ASSAULT,DISPUTE,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""42"",""sex"":""F"",""type"":""I""}]"
1800057,1,UNLF ENTRY MOTOR VEHICLE,08:00.0,75,PRP,MV THEFT,CITIZEN CONTACT,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""26"",""sex"":""F"",""type"":""I""}]"
1800118,1,DWS VIO,28:00.0,999,UNA,UNASSIGNED,DISABLED VEHICL,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,[]
1800121,1,MISSING PERSON,00:00.0,999,UNA,UNASSIGNED,MISSING PERSON,EXCEPTIONAL (EXC DISP NEEDED),E ,NULL,[]
1800120,1,VEHICLE RECOVERED FOR ANOTHER AGENCY,37:00.0,530,ORS,VEHICLE RECOVERED / OTHER AGENCY,PATROL CHECK,CLEARED BY ARREST,A ,NULL,[]
1800126,1,"PROPERTY, FOUND",00:00.0,999,UNA,UNASSIGNED,FOUND PROPERTY,"OTHER (NON-REPORTABLE, IBR 999)",X ,NULL,[]
1800124,1,CRIMINAL TRESPASS 2,03:00.0,261,SOC,ALL OTHER,CRIMINAL TRESPA,CLEARED BY ARREST,A ,NULL,[]
1800122,1,CRIMINAL MISCHIEF 2,37:00.0,140,PRP,VANDALISM,THEFT FROM VEHI,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,[]
1800123,1,UUV,06:00.0,71,PRP,MV THEFT,UNAUTHORIZED US,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""41"",""sex"":""F"",""type"":""I""}]"
1800130,1,"PROPERTY, FOUND",12:00.0,999,UNA,UNASSIGNED,FOUND CONTRABAN,"OTHER (NON-REPORTABLE, IBR 999)",X ,NULL,[]
1800125,1,FORGERY 1,03:00.0,100,PRP,FORGERY,FRAUD,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,[]
1800131,1,CONS UNLIC PREM/OPEN CON,09:00.0,224,SOC,LIQUOR LAW VIOLATION,PERSON STOP,CLEARED BY ARREST,A ,NULL,[]
1800127,1,USE OF MARIJUANA IN PUBLIC PLACE,25:00.0,180,SOC,DRUG LAW VIOLATION,CRIMINAL TRESPA,CLEARED BY ARREST,A ,NULL,[]
1800134,1,SUSPICIOUS VEHICLE(S),39:00.0,999,UNA,UNASSIGNED,CRIMINAL TRESPA,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,[]
1800127,2,CRIMINAL TRESPASS 2,25:00.0,261,SOC,ALL OTHER,CRIMINAL TRESPA,CLEARED BY ARREST,A ,NULL,[]
1800133,1,CRIMINAL MISCHIEF 2,26:00.0,140,PRP,VANDALISM,ILLEGAL DISCHAR,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,[]
1800144,1,CRIMINAL MISCHIEF 3,30:00.0,140,PRP,VANDALISM,THEFT FROM VEHI,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""21"",""sex"":""M"",""type"":""I""}]"
1800140,1,BURGLARY 2 - OTHER STRUCTURE,00:00.0,53,PRP,BURGLARY,BURGLARY,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""84"",""sex"":""M"",""type"":""I""}]"
1800140,2,CRIMINAL MISCHIEF 2 - RESULT CRIMINAL ACT,00:00.0,141,PRP,VANDALISM,BURGLARY,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""84"",""sex"":""M"",""type"":""I""}]"
1800135,1,THEFT 1 - BICYCLE,06:00.0,66,PRP,LARCENY,THEFT OF BICYCL,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""70"",""sex"":""F"",""type"":""I""}]"
1800129,1,CRIMINAL MISCHIEF 3,00:00.0,140,PRP,VANDALISM,CRIMINAL MISCHI,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""72"",""sex"":""F"",""type"":""I""}]"
1800128,1,CRIMINAL MISCHIEF 3,03:00.0,140,PRP,VANDALISM,CRIMINAL MISCHI,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""37"",""sex"":""F"",""type"":""I""}]"
1800153,1,"WARRANT ARREST (FTA,FTC,FTP,PV,SC)",34:00.0,550,ORS,WARRANT,LOCATION WANTED,CLEARED BY ARREST,A ,NULL,[]
1800136,1,SUSPICIOUS CONDITIONS,09:00.0,999,UNA,UNASSIGNED,SUSPICIOUS COND,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""43"",""sex"":""F"",""type"":""I""}]"
1800159,1,IDENTITY THEFT,57:00.0,11F,PRP,FRAUD,THEFT OF IDENTI,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""38"",""sex"":""M"",""type"":""I""}]"
1800150,2,CRIMINAL MISCHIEF 3 - RESULT CRIMIINAL ACT,30:00.0,141,PRP,VANDALISM,THEFT FROM VEHI,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""34"",""sex"":""M"",""type"":""I""}]"
1800150,1,THEFT 3 - FROM VEHICLE,30:00.0,64,PRP,LARCENY,THEFT FROM VEHI,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""34"",""sex"":""M"",""type"":""I""}]"
1800156,1,THEFT 2 - FROM VEHICLE,48:00.0,64,PRP,LARCENY,THEFT FROM VEHI,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""76"",""sex"":""F"",""type"":""I""}]"
1800156,2,CRIMINAL MISCHIEF 3 - RESULT CRIMIINAL ACT,48:00.0,141,PRP,VANDALISM,THEFT FROM VEHI,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""76"",""sex"":""F"",""type"":""I""}]"
1800149,2,CRIMINAL MISCHIEF 3 - RESULT CRIMIINAL ACT,01:00.0,141,PRP,VANDALISM,THEFT FROM VEHI,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""47"",""sex"":""M"",""type"":""I""}]"
1800149,1,THEFT 2 - FROM VEHICLE,01:00.0,64,PRP,LARCENY,THEFT FROM VEHI,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""47"",""sex"":""M"",""type"":""I""}]"
1800132,1,BURGLARY 2 - RESIDENCE,00:00.0,51,PRP,BURGLARY,BURGLARY,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""32"",""sex"":""F"",""type"":""I""}]"
1800138,1,BURGLARY 1 - RESIDENCE,00:00.0,51,PRP,BURGLARY,BURGLARY,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""21"",""sex"":""F"",""type"":""I""}]"
1800141,1,IDENTITY THEFT,00:00.0,11F,PRP,FRAUD,THEFT OF IDENTI,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""21"",""sex"":""F"",""type"":""I""}]"
1800146,1,WELFARE CHECK,45:00.0,999,UNA,UNASSIGNED,CHECK WELFARE,UNFOUNDED,U ,NULL,[]
1800157,1,CRIMINAL MISCHIEF 3 - VANDALISM,49:00.0,140,PRP,VANDALISM,CRIMINAL MISCHI,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,[]
1800161,1,THEFT 2 - FROM BUILDING,27:00.0,67,PRP,LARCENY,THEFT,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,[]
1800154,2,"WARRANT ARREST (FTA,FTC,FTP,PV,SC)",45:00.0,550,ORS,WARRANT,CRIMINAL TRESPA,CLEARED BY ARREST,A ,NULL,[]
1800154,1,CRIMINAL TRESPASS 2,45:00.0,261,SOC,ALL OTHER,CRIMINAL TRESPA,CLEARED BY ARREST,A ,NULL,[]
1800162,2,CRIMINAL TRESPASS 2,30:00.0,261,SOC,ALL OTHER,DISORDERLY SUBJ,CLEARED BY ARREST,A ,NULL,[]
1800162,1,INTERFERE PUBLIC TRANSPORT,30:00.0,240,SOC,DISORDERLY CONDUCT,DISORDERLY SUBJ,CLEARED BY ARREST,A ,NULL,[]
1800163,1,CRIMINAL TRESPASS 2,49:00.0,261,SOC,ALL OTHER,DISORDERLY SUBJ,CLEARED BY ARREST,A ,NULL,[]
1800155,1,ACCIDENT VEHICLE NO INJ,00:00.0,999,UNA,UNASSIGNED,HIT AND RUN,"OTHER (NON-REPORTABLE, IBR 999)",X ,NULL,[]
1800166,1,CRIMINAL TRESPASS 2,14:00.0,261,SOC,ALL OTHER,CRIMINAL TRESPA,CLEARED BY ARREST,A ,NULL,[]
1800171,1,HARASSMENT (1AA) PHYSICAL CONT - SIMP ASLT,49:00.0,43,PER,ASSAULT,DISPUTE,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""22"",""sex"":""M"",""type"":""I""}]"
1800151,1,"WARRANT ARREST (FTA,FTC,FTP,PV,SC)",54:00.0,550,ORS,WARRANT,PATROL CHECK,CLEARED BY ARREST,A ,NULL,[]
1800168,1,DUII,44:00.0,210,SOC,DUII,MOTOR VEH ACC N,CLEARED BY ARREST,A ,NULL,[]
1800175,1,FORGERY 1,35:00.0,100,PRP,FORGERY,FORGERY,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,[]
1800164,1,CRIMINAL MISCHIEF 2,57:00.0,140,PRP,VANDALISM,DISORDERLY SUBJ,CLEARED BY ARREST,A ,NULL,"[{""age"":""54"",""sex"":""F"",""type"":""I""}]"
1800172,2,INTERFERE W/ MAKING A REPORT,59:00.0,240,SOC,DISORDERLY CONDUCT,DISPUTE,CLEARED BY ARREST,A ,NULL,[]
1800119,1,CRIMINAL MISCHIEF 2,42:00.0,140,PRP,VANDALISM,MOTOR VEH ACC U,CLEARED BY ARREST,A ,NULL,[]
1800169,1,BURGLARY 2 - OTHER STRUCTURE,00:00.0,53,PRP,BURGLARY,BURGLARY,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""45"",""sex"":""M"",""type"":""I""}]"
1800119,3,RECKLESS DRIVING,42:00.0,393,ORS,TRAFFIC CRIME,MOTOR VEH ACC U,CLEARED BY ARREST,A ,NULL,[]
1800165,1,THEFT 2 - SHOPLIFT,44:00.0,63,PRP,LARCENY,THEFT,OPEN,O ,NULL,[]
1800172,1,ASSAULT 4 - FEL APA,59:00.0,41,PER,ASSAULT,DISPUTE,CLEARED BY ARREST,A ,NULL,"[{""age"":""35"",""sex"":""F"",""type"":""I""}]"
1800173,1,THEFT 2 - SHOPLIFT,23:00.0,63,PRP,LARCENY,THEFT,CLEARED BY ARREST,A ,NULL,[]
1800119,2,DUII,42:00.0,210,SOC,DUII,MOTOR VEH ACC U,CLEARED BY ARREST,A ,NULL,[]
1800143,1,VIOL COURT STALKING PROTECT ORDER - MISD,00:00.0,46,PER,ASSAULT,VIOLATION OF RE,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""44"",""sex"":""M"",""type"":""I""}]"
1800167,1,THEFT 3 - SHOPLIFT,43:00.0,63,PRP,LARCENY,THEFT,"PENDING (DA/CP REVIEW, LAB, MORE INFO)",P ,NULL,[]
1800164,2,DISORDERLY CONDUCT,57:00.0,240,SOC,DISORDERLY CONDUCT,DISORDERLY SUBJ,CLEARED BY ARREST,A ,NULL,[]
1800177,1,DISORDERLY CONDUCT 1,08:00.0,240,SOC,DISORDERLY CONDUCT,SUSPICIOUS COND,CLEARED BY ARREST,A ,NULL,[]
1800176,1,MENTAL HOLD BY POLICE OFFICER,31:00.0,513,ORS,CUSTODY,SUICIDAL SUBJEC,CLEARED BY ARREST,A ,NULL,[]
1800137,1,ANIMAL ABANDONMENT,35:00.0,267,SOC,ALL OTHER,ABANDONED ANIMA,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,[]
1800015,1,ANIMAL COMPLAINT-BITE-INJURED-IMPOUND,46:00.0,999,UNA,UNASSIGNED,FOLLOW UP,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,[]
1800019,1,DOG AT LARGE,00:00.0,267,SOC,ALL OTHER,FOUND ANIMAL,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,[]
1800181,1,"WARRANT ARREST (FTA,FTC,FTP,PV,SC)",59:00.0,550,ORS,WARRANT,CHECK WELFARE,CLEARED BY ARREST,A ,NULL,[]
1800178,1,MENACING - INTIMIDATE/THRT APA,38:00.0,45,PER,ASSAULT,DISPUTE,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""51"",""sex"":""M"",""type"":""I""}]"
1800182,1,THEFT 1 - FROM VEHICLE,30:00.0,64,PRP,LARCENY,THEFT FROM VEHI,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""43"",""sex"":""M"",""type"":""I""}]"
1800174,1,MAIL THEFT - OTHER,43:00.0,69,PRP,LARCENY,SUSPICIOUS VEHI,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""75"",""sex"":""M"",""type"":""I""}]"
1800184,1,MAIL THEFT - OTHER,30:00.0,69,PRP,LARCENY,THEFT OF MAIL,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,[]
1800198,1,MAIL THEFT - OTHER,47:00.0,69,PRP,LARCENY,THEFT OF MAIL,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""69"",""sex"":""F"",""type"":""I""}]"
1800203,1,IDENTITY THEFT,02:00.0,11F,PRP,FRAUD,FRAUD,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""52"",""sex"":""F"",""type"":""I""}]"
1800190,1,"WARRANT ARREST (FTA,FTC,FTP,PV,SC)",59:00.0,550,ORS,WARRANT,PERSON STOP,CLEARED BY ARREST,A ,NULL,[]
1800193,1,"WARRANT ARREST (FTA,FTC,FTP,PV,SC)",59:00.0,550,ORS,WARRANT,PATROL CHECK,CLEARED BY ARREST,A ,NULL,[]
1800191,1,MENACING - INTIMIDATE/THRT APA,35:00.0,45,PER,ASSAULT,UNKNOWN PROBLEM,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""38"",""sex"":""M"",""type"":""I""}]"
1800204,1,THEFT 3 - SHOPLIFT,32:00.0,63,PRP,LARCENY,SHOPLIFT 3050 P,CLEARED BY ARREST,A ,NULL,[]
1800194,1,CRIMINAL TRESPASS 2,19:00.0,261,SOC,ALL OTHER,PATROL CHECK,CLEARED BY ARREST,A ,NULL,[]
1800205,1,BURGLARY 2 - BUSINESS,11:00.0,52,PRP,BURGLARY,BURGLARY,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,[]
1800180,1,UUV,56:00.0,71,PRP,MV THEFT,SUSPICIOUS SUBJ,CLEARED BY ARREST,A ,NULL,"[{""age"":""35"",""sex"":""F"",""type"":""I""}]"
1800213,1,FORGERY 1,39:00.0,100,PRP,FORGERY,FORGERY,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,[]
1800209,1,ACCIDENT VEHICLE NO INJ,50:00.0,999,UNA,UNASSIGNED,MOTOR VEH ACC U,"OTHER (NON-REPORTABLE, IBR 999)",X ,NULL,[]
1800207,1,MISSING PERSON,32:00.0,999,UNA,UNASSIGNED,MISSING PERSON,EXCEPTIONAL (EXC DISP NEEDED),E ,NULL,[]
1800185,1,UUV,31:00.0,71,PRP,MV THEFT,UNAUTHORIZED US,ARREST BY OTHER AGENCY,T ,NULL,[]
1800202,1,THEFT 3 - SHOPLIFT,35:00.0,63,PRP,LARCENY,THEFT,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,[]
1800197,1,HARASSMENT - SIMPLE ASLT,34:00.0,43,PER,ASSAULT,ROBBERY,CLEARED BY ARREST,A ,NULL,"[{""age"":""77"",""sex"":""M"",""type"":""I""}]"
1800197,2,MENTAL HOLD BY POLICE OFFICER,34:00.0,513,ORS,CUSTODY,ROBBERY,CLEARED BY ARREST,A ,NULL,[]
1800212,1,CRIMINAL MISCHIEF 3 - VANDALISM,00:00.0,140,PRP,VANDALISM,CRIMINAL MISCHI,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,[]
1800215,1,UUV,00:00.0,71,PRP,MV THEFT,UNAUTHORIZED US,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""46"",""sex"":""M"",""type"":""I""}]"
1800208,1,THEFT 2 - SHOPLIFT,03:00.0,63,PRP,LARCENY,THEFT,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,[]
1800214,1,THEFT 3 - SHOPLIFT,18:00.0,63,PRP,LARCENY,SHOPLIFT 3050 P,CLEARED BY ARREST,A ,NULL,[]
1800219,1,"PROPERTY, FOUND",03:00.0,999,UNA,UNASSIGNED,FOUND PROPERTY,"OTHER (NON-REPORTABLE, IBR 999)",X ,NULL,[]
1800196,1,DUII,55:00.0,210,SOC,DUII,DUII,CLEARED BY ARREST,A ,NULL,[]
1800196,2,RECKLESS DRIVING,55:00.0,393,ORS,TRAFFIC CRIME,DUII,CLEARED BY ARREST,A ,NULL,[]
1800221,2,FALSE INFO TO OFF (CITE),40:00.0,269,SOC,ALL OTHER,CRIMINAL TRESPA,CLEARED BY ARREST,A ,NULL,[]
1800221,1,CRIMINAL TRESPASS 2,40:00.0,261,SOC,ALL OTHER,CRIMINAL TRESPA,CLEARED BY ARREST,A ,NULL,[]
1800216,1,RUNAWAY FOR OTHER AGENCY,41:00.0,550,ORS,WARRANT,SHOPLIFT 3050 P,EXCEPTIONAL (EXC DISP NEEDED),E ,NULL,[]
1800218,1,"WARRANT ARREST (FTA,FTC,FTP,PV,SC)",32:00.0,550,ORS,WARRANT,SUSPICIOUS SUBJ,CLEARED BY ARREST,A ,NULL,[]
1800180,2,IDENTITY THEFT,56:00.0,11F,PRP,FRAUD,SUSPICIOUS SUBJ,CLEARED BY ARREST,A ,NULL,"[{""age"":""17"",""sex"":""F"",""type"":""I""}]"
1800180,3,POSSESS HEROIN PRIOR FEL CONV,56:00.0,180,SOC,DRUG LAW VIOLATION,SUSPICIOUS SUBJ,CLEARED BY ARREST,A ,NULL,[]
1800195,1,IDENTITY THEFT,55:00.0,11F,PRP,FRAUD,OVERDOSE,CLEARED BY ARREST,A ,NULL,"[{""age"":""24"",""sex"":""M"",""type"":""I""}]"
1800195,2,POSSESS METHAMPHETAMINE,55:00.0,180,SOC,DRUG LAW VIOLATION,OVERDOSE,CLEARED BY ARREST,A ,NULL,[]
1800195,3,CRIMINAL TRESPASS 2,55:00.0,261,SOC,ALL OTHER,OVERDOSE,CLEARED BY ARREST,A ,NULL,[]
1800195,4,"WARRANT ARREST (FTA,FTC,FTP,PV,SC)",55:00.0,550,ORS,WARRANT,OVERDOSE,CLEARED BY ARREST,A ,NULL,[]
1800225,1,MISSING PERSON,00:00.0,999,UNA,UNASSIGNED,,EXCEPTIONAL (EXC DISP NEEDED),E ,NULL,[]
1800220,1,CRIMINAL MISTREATMENT 1,47:00.0,205,PER,FAMILY OFFENSE,CHILD ABUSE,UNFOUNDED,U ,NULL,"[{""age"":""03"",""sex"":""F"",""type"":""I""}]"
1800222,1,ENCOURAGE CHILD SEX ABUSE 2 - PORN,00:00.0,170,SOC,SEX CRIMES,SEX ABUSE,UNFOUNDED,U ,NULL,[]
1800224,1,CRIMINAL TRESPASS 2,18:00.0,261,SOC,ALL OTHER,CRIMINAL TRESPA,CLEARED BY ARREST,A ,NULL,[]
1800227,1,RESISTING ARREST - DIS CONDUCT,29:00.0,240,SOC,DISORDERLY CONDUCT,ASSAULT,CLEARED BY ARREST,A ,NULL,[]
1800227,2,CRIMINAL TRESPASS 2,29:00.0,261,SOC,ALL OTHER,ASSAULT,CLEARED BY ARREST,A ,NULL,[]
1800229,1,"WARRANT ARREST (FTA,FTC,FTP,PV,SC)",16:00.0,550,ORS,WARRANT,SUSPICIOUS SUBJ,CLEARED BY ARREST,A ,NULL,[]
1800230,1,UNLF ENTRY MOTOR VEHICLE,57:00.0,75,PRP,MV THEFT,THEFT FROM VEHI,CLEARED BY ARREST,A ,NULL,[]
1800228,1,SUSPICIOUS CONDITIONS,31:00.0,999,UNA,UNASSIGNED,DISORDERLY SUBJ,"OTHER (NON-REPORTABLE, IBR 999)",X ,NULL,"[{""age"":""25"",""sex"":""F"",""type"":""I""}]"
1800226,1,ASSAULT,56:00.0,43,PER,ASSAULT,ASSAULT,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""28"",""sex"":""M"",""type"":""I""},{""age"":""27"",""sex"":""F"",""type"":""I""}]"
1800226,2,HARASSMENT - DIS CONDUCT,56:00.0,240,SOC,DISORDERLY CONDUCT,ASSAULT,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,[]
